zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
341Ac,39768,9.72744866982001,0,35.4714202880859,386841.178701401,31.8982515419367,31.8974494334187,5.64785371109563,5.64778270061966
341Aa,111227,1.20650973678576,0,38.1630249023438,134196.458493471,13.4747024478967,13.4745813019299,3.67079043911481,3.67077393773165
M341Cn,25697,15.7273771508536,0,75.1985092163086,404146.410645485,267.729069963464,267.718651273735,16.3624286083535,16.362110232905
331Cf,95751,0.167315779730186,0,74.8312530517578,16020.6532249451,6.83293670817597,6.83286534665799,2.61398865876958,2.61397500880517
M313Bf,127203,2.19482069165433,0,57.7209548950195,279187.776440501,23.7801251771151,23.7799382308546,4.87648697087515,4.8764678027087
M313Bb,61163,1.15147614228029,0,34.1132316589355,70427.7352902889,7.98768940720317,7.98755881044684,2.82625006098243,2.82622695664146
321Ag,413189,0.054343642921235,0,27.0388927459717,22454.1954749823,0.418964839552378,0.418963825573692,0.647274933511548,0.647274150243691
321Ae,109041,0.001681624434393,0,10.4042778015137,183.366009950638,0.011429566430143,0.011429461611162,0.106909150357406,0.106908660131732
M313Ac,8320,6.37647000827755,0,45.7999038696289,53052.2304688692,64.5172469307018,64.5094924539072,8.03226287734047,8.03178015472954
M331Hl,45463,15.4942072457473,0,84.0127029418945,704413.144013405,288.581386591108,288.575038981259,16.9876833791753,16.9874965483811
341Ab,30530,9.86695107687431,0,45.6635322570801,301238.016376972,73.1729120421035,73.1705152876966,8.55411667222885,8.5539765774578
M331Ig,41410,26.768454667837,0,84.4681015014648,1108481.70779514,536.152152034188,536.139204626508,23.1549595558746,23.1546799724485
341Fd,28684,0.645349152811137,0,28.2245349884033,18511.1950992346,6.4745067942951,6.47428107588783,2.54450521600863,2.54446086153586
322Ab,55227,0,0,0,0,0,0,0,0
M331Hh,23896,29.5001437992285,0,82.5477523803711,704935.436226368,500.457048246031,500.436105115455,22.3708973500401,22.3704292563968
M341Cl,25048,24.1319192924732,0,66.2138595581055,604456.314437866,260.231161824558,260.220772525539,16.1316819279503,16.1313599093672
M331Ip,74901,32.5368884696138,0,82.7241821289062,2437045.48326254,577.336492398704,577.328784404252,24.027827458984,24.0276670612078
341Ap,8587,10.110927164034,0,37.5385589599609,86822.53155756,74.6512069558504,74.6425134415898,8.64009299462977,8.63958988850685
341Di,15150,0.130083493320856,0,63,1970.76492381096,4.09583642563491,4.09556607339559,2.02381729057613,2.02375049682405
341Dj,27453,6.57556969957156,0,52.9246711730957,180519.114962339,84.6771986989273,84.674114256473,9.20202144634141,9.20185384889768
M341Bc,57825,4.34879252899275,0,50.9567794799805,251468.927989006,42.7194183176093,42.7186795468646,6.53600935721556,6.53595284154228
M341Ba,97599,6.98734070500659,0,46.4799346923828,681957.46546793,55.8703721415751,55.8697996933723,7.47464862997419,7.47461033722644
341Fa,36922,2.20665518183419,0,41.7764167785645,81474.122623682,21.5107624096849,21.5101798095438,4.63796964303184,4.63790683493575
M313Bg,70523,22.7532678253137,0,80.0698928833008,1604628.70684457,299.851694854407,299.847443025998,17.316226345668,17.3161035751695
M341Cm,16359,18.8689032766301,0,67.9858322143555,308676.388702393,226.702928885113,226.689070890805,15.0566572945363,15.0561970925863
341Fg,14884,0.000307267021665,0,4.57336235046387,4.57336235046387,0.001405243428423,0.0014051490154,0.037486576643147,0.037485317330922
341Bc,76493,0.084506427433058,0,8.42902755737305,6464.15015363693,0.553701264570635,0.553694025983254,0.74411105661093,0.744106192679011
M341Cf,11733,4.76257920344446,0,45.5491790771484,55879.341794014,66.1092887110767,66.1036542366277,8.13076187765186,8.1304153790952
331Cb,89159,0.087435471928536,0,66.9761428833008,7795.65924167633,3.23667361186195,3.23663730959732,1.79907576601486,1.79906567684377
M331Ih,31250,23.3032719463045,0,79.280891418457,728227.24832201,219.078321764141,219.071311257844,14.8012945975729,14.8010577749647
M331Is,20988,10.554640738333,0,84.0485229492188,221520.799816132,352.624627210626,352.607825960997,18.7783020321494,18.777854668758
341Ba,159850,0.657197462946397,0,58.3725547790527,105053.014451981,7.70238426784666,7.70233608277147,2.77531696709523,2.77530828607769
M331Hd,71315,24.4016610340411,0,87.7470169067383,1740204.45664263,475.927350334989,475.92067674107,21.8157592197702,21.8156062657234
M341Bd,45116,14.2382062446386,0,57.370548248291,642370.912933111,118.800210932082,118.797577715242,10.8995509509375,10.8994301555284
M331Ir,27241,35.9878419587138,0,82.930419921875,980344.802797318,475.334286101897,475.31683687881,21.802162418024,21.8017622425071
331Hc,199175,0.237573181591409,0,70.594108581543,47318.63844347,7.80561099130166,7.80557180158914,2.79385235674716,2.79384534317652
M341Bg,40780,5.65856344261369,0,45.8936920166016,230756.217189789,50.9647816037738,50.9635318543475,7.13896222176401,7.13887469103832
321Am,102295,7.39689317759553,0,88.8574752807617,756665.187602133,128.903632294796,128.90237217815,11.3535735473373,11.3535180529275
M341Cg,19141,2.00106546521455,0,50.3488464355469,38302.3940696716,39.8913828695761,39.8892987891796,6.31596254497888,6.31579755764698
341Bf,29240,2.67699821598715,0,45.0487518310547,78275.4278354645,24.38345270162,24.3826187942089,4.93796037870091,4.93787593953198
341Bd,91637,4.73692662640186,0,61.1931381225586,434077.745263577,42.4120081193046,42.411545293065,6.51245023929585,6.51241470524298
